bits,group_size,bias_bits,index,value
3,2,8,26,-0.62818002700805664
3,2,8,27,-0.62426614761352539
3,2,8,28,-0.62035226821899414
3,2,8,29,-0.61643838882446289
3,2,8,30,-0.61252450942993164
3,2,8,31,-0.60861063003540039
3,2,8,32,-0.60078275203704834
3,2,8,33,-0.59686887264251709
3,2,8,34,-0.59295499324798584
3,2,8,35,-0.58512723445892334
3,2,8,36,-0.58121335506439209
3,2,8,37,-0.56947159767150879
3,2,8,38,-0.54990220069885254
3,2,8,39,-0.52250492572784424
3,2,8,40,-0.43248534202575684
3,2,8,41,-0.41682973504066467
3,2,8,42,-0.40117418766021729
3,2,8,43,-0.3933463990688324
3,2,8,44,-0.38943246006965637
3,2,8,45,-0.38551858067512512
3,2,8,46,-0.37769079208374023
3,2,8,47,-0.37769079208374023
3,2,8,48,-0.37377691268920898
3,2,8,49,-0.36986303329467773
3,2,8,50,-0.36594915390014648
3,2,8,51,-0.36203524470329285
3,2,8,52,-0.36203524470329285
3,2,8,53,-0.3581213653087616
3,2,8,54,-0.35420742630958557
3,2,8,55,-0.35029351711273193
3,2,8,56,-0.35029351711273193
3,2,8,57,-0.34637963771820068
3,2,8,58,-0.34246575832366943
3,2,8,59,-0.33855187892913818
3,2,8,60,-0.33855187892913818
3,2,8,61,-0.33463799953460693
3,2,8,62,-0.3307240903377533
3,2,8,63,-0.3307240903377533
3,2,8,64,-0.32681015133857727
3,2,8,65,-0.32289627194404602
3,2,8,66,-0.31898236274719238
3,2,8,67,-0.31506848335266113
3,2,8,68,-0.31115460395812988
3,2,8,69,-0.30724072456359863
3,2,8,70,-0.30332684516906738
3,2,8,71,-0.29941293597221375
3,2,8,72,-0.28767120838165283
3,2,8,73,-0.27592957019805908
3,2,8,74,-0.11545990407466888
3,2,8,75,-0.099804297089576721
3,2,8,76,-0.08806263655424118
3,2,8,77,-0.084148749709129333
3,2,8,78,-0.076320916414260864
3,2,8,79,-0.072407029569149017
3,2,8,80,-0.06849314272403717
3,2,8,81,-0.064579255878925323
3,2,8,82,-0.060665369033813477
3,2,8,83,-0.05675148218870163
3,2,8,84,-0.05675148218870163
3,2,8,85,-0.052837595343589783
3,2,8,86,-0.052837595343589783
3,2,8,87,-0.048923708498477936
3,2,8,88,-0.045009821653366089
3,2,8,89,-0.045009821653366089
3,2,8,90,-0.041095875203609467
3,2,8,91,-0.041095875203609467
3,2,8,92,-0.041095875203609467
3,2,8,93,-0.03718198835849762
3,2,8,94,-0.03718198835849762
3,2,8,95,-0.033268101513385773
3,2,8,96,-0.033268101513385773
3,2,8,97,-0.033268101513385773
3,2,8,98,-0.029354214668273926
3,2,8,99,-0.029354214668273926
3,2,8,100,-0.029354214668273926
3,2,8,101,-0.029354214668273926
3,2,8,102,-0.025440327823162079
3,2,8,103,-0.025440327823162079
3,2,8,104,-0.025440327823162079
3,2,8,105,-0.021526440978050232
3,2,8,106,-0.021526440978050232
3,2,8,107,-0.021526440978050232
3,2,8,108,-0.021526440978050232
3,2,8,109,-0.017612554132938385
3,2,8,110,-0.017612554132938385
3,2,8,111,-0.017612554132938385
3,2,8,112,-0.013698607683181763
3,2,8,113,-0.013698607683181763
3,2,8,114,-0.013698607683181763
3,2,8,115,-0.013698607683181763
3,2,8,116,-0.0097847208380699158
3,2,8,117,-0.0097847208380699158
3,2,8,118,-0.0097847208380699158
3,2,8,119,-0.0097847208380699158
3,2,8,120,-0.0058708339929580688
3,2,8,121,-0.0058708339929580688
3,2,8,122,-0.0058708339929580688
3,2,8,123,-0.0058708339929580688
3,2,8,124,-0.0019569471478462219
3,2,8,125,-0.0019569471478462219
3,2,8,126,-0.0019569471478462219
3,2,8,127,-0.0019569471478462219
3,2,8,128,0.001956939697265625
3,2,8,129,0.001956939697265625
3,2,8,130,0.001956939697265625
3,2,8,131,0.001956939697265625
3,2,8,132,0.0058708265423774719
3,2,8,133,0.0058708265423774719
3,2,8,134,0.0058708265423774719
3,2,8,135,0.0058708265423774719
3,2,8,136,0.0097847133874893188
3,2,8,137,0.0097847133874893188
3,2,8,138,0.0097847133874893188
3,2,8,139,0.0097847133874893188
3,2,8,140,0.013698630034923553
3,2,8,141,0.013698630034923553
3,2,8,142,0.013698630034923553
3,2,8,143,0.0176125168800354
3,2,8,144,0.0176125168800354
3,2,8,145,0.0176125168800354
3,2,8,146,0.0176125168800354
3,2,8,147,0.021526403725147247
3,2,8,148,0.021526403725147247
